station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
210,1986-08-06,11,DO_mgl,8.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,12,DO_mgl,7.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,13,DO_mgl,7.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,14,DO_mgl,7.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,15,DO_mgl,7.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,20,DO_mgl,7.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,11,DO_pctsat,79,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,12,DO_pctsat,71,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,13,DO_pctsat,67,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,14,DO_pctsat,66,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,2,DO_pctsat,97,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,3,DO_pctsat,97,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,4,DO_pctsat,97,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,5,DO_pctsat,98,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,6,DO_pctsat,96,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,7,DO_pctsat,94,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,8,DO_pctsat,91,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,9,DO_pctsat,89,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,10,DO_pctsat,84,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,15,DO_pctsat,66,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,20,DO_pctsat,62,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,25,DO_pctsat,55,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,30,DO_pctsat,48,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,0.1,temp_C,22.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,1,temp_C,22.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,2,temp_C,22.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,3,temp_C,22.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,4,temp_C,22.1,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,5,temp_C,21.7,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,6,temp_C,21,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,7,temp_C,20,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,8,temp_C,19.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,9,temp_C,18.4,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,10,temp_C,17.8,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,11,temp_C,16.9,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,12,temp_C,15.8,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,13,temp_C,14.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,14,temp_C,12,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,15,temp_C,10.9,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,16,temp_C,10.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,18,temp_C,9.6,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,20,temp_C,9.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,22,temp_C,9.1,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,24,temp_C,9.1,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,26,temp_C,9.1,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,0.1,DO_mgl,9.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,1,DO_mgl,9.1,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,2,DO_mgl,8.8,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,3,DO_mgl,8.7,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,4,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,5,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,6,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,7,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,8,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,9,DO_mgl,8.7,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,10,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,11,DO_mgl,7.7,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,12,DO_mgl,7.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,13,DO_mgl,7.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,14,DO_mgl,7.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,15,DO_mgl,6.9,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,16,DO_mgl,7.3,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,18,DO_mgl,6.9,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,20,DO_mgl,6.8,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,22,DO_mgl,6.6,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,24,DO_mgl,6.2,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,26,DO_mgl,6,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,0.1,DO_pctsat,107,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,1,DO_pctsat,103,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,2,DO_pctsat,100,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,3,DO_pctsat,98,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,4,DO_pctsat,96,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,5,DO_pctsat,93,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,6,DO_pctsat,93,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,7,DO_pctsat,91,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,8,DO_pctsat,92,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,9,DO_pctsat,90,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,10,DO_pctsat,87,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,11,DO_pctsat,77,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,12,DO_pctsat,71,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,13,DO_pctsat,69,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,14,DO_pctsat,67,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,15,DO_pctsat,60,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,16,DO_pctsat,64,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,18,DO_pctsat,58,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,20,DO_pctsat,57,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,22,DO_pctsat,56,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,24,DO_pctsat,53,actual,trophic reports (Woody),pelagic,NA,NA
230,1986-08-06,26,DO_pctsat,52,actual,trophic reports (Woody),pelagic,NA,NA
100,2001-09-17,11,temp_C,12.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,10,temp_C,14.1,actual,LMP DO,littoral,NA,NA
100,2001-09-17,13,DO_mgl,6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,14,DO_pctsat,45,actual,LMP DO,littoral,NA,NA
100,2001-09-17,7,temp_C,19.4,actual,LMP DO,littoral,NA,NA
100,2001-09-17,12,DO_mgl,8.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,11,DO_mgl,9,actual,LMP DO,littoral,NA,NA
100,2001-09-17,10,DO_mgl,9.3,actual,LMP DO,littoral,NA,NA
100,2001-09-17,8,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,7,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-08-21,13,DO_mgl,8.3,actual,LMP DO,littoral,NA,NA
100,2001-09-17,13,temp_C,11.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,12,temp_C,11.3,actual,LMP DO,littoral,NA,NA
100,2001-08-21,5,DO_pctsat,89.9,actual,LMP DO,littoral,NA,NA
100,2001-08-21,4,DO_pctsat,90.1,actual,LMP DO,littoral,NA,NA
