date,stream_no,TP_mmolm3,TN_mmolm3,DOC_mmolm3,flag,source
2015-09-01,540,1.2591302683584342,NA,NA,NA,LSPA LMP VLAP
2015-09-01,800,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2015-08-31,835,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2015-08-31,830,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2015-08-30,760,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2015-08-30,750,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2015-08-05,540,0.8394201789056227,NA,NA,NA,LSPA LMP VLAP
2015-08-04,788,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2015-08-04,835,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2015-08-04,830,1.0008471363874734,NA,NA,NA,LSPA LMP VLAP
2015-08-04,800,0.8071347874092527,NA,NA,NA,LSPA LMP VLAP
2015-08-04,790,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2015-08-03,670,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2015-08-03,505,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2015-08-02,760,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2015-08-02,750,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2015-07-08,670,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2015-07-07,505,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2015-07-07,510,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2015-07-07,788,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2015-07-07,790,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2015-07-07,800,0.7102786129201423,NA,NA,NA,LSPA LMP VLAP
2015-07-06,835,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2015-07-06,830,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2015-07-06,540,0.7102786129201423,NA,NA,NA,LSPA LMP VLAP
2015-06-30,750,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2015-06-30,760,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2015-06-10,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2015-06-10,510,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2015-06-09,790,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2015-06-09,788,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2015-06-09,800,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2015-06-08,830,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2015-06-08,835,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2015-06-08,750,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2015-06-08,760,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2015-06-08,670,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2015-05-13,670,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2015-05-13,790,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2015-05-13,788,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2015-05-11,510,0.12914156598548043,NA,NA,BDL,LSPA LMP VLAP
2015-05-11,830,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2015-05-11,835,0.12914156598548043,NA,NA,BDL,LSPA LMP VLAP
2015-05-11,750,0.09685617448911032,NA,NA,BDL,LSPA LMP VLAP
2015-05-11,760,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2015-05-11,800,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2015-05-11,805,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2015-05-11,540,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2015-05-11,505,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-10-06,505,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-10-06,510,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2014-10-06,670,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-10-06,800,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2014-10-06,805,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2014-10-06,788,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-10-06,790,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-10-05,540,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2014-09-10,790,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2014-09-10,788,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2014-09-08,800,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2014-09-08,505,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-09-08,510,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2014-09-08,670,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2014-09-08,805,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
