time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads
2015-08-11,1.96473603237093,0,18.2315076204154,125,12.5,15.4071716958538,3.85179292396345,3.85179292396345,15.4071716958538,0.0112537484264781,0.0547428101423595,0.124744940185028,0.190741498753866
2015-08-12,1.96473603237093,0,18.2632821233021,125,12.5,23.611558965605,5.90288974140126,5.90288974140126,23.611558965605,0.00685502259756599,0.0333456183983295,0.0759861826916637,0.116186823687559
2015-08-13,1.96473603237093,0,18.1473015791432,125,12.5,13.5047531764805,3.37618829412013,3.37618829412013,13.5047531764805,0.00937865994657654,0.0456216170282621,0.10396006110273,0.158960338077568
2015-08-14,1.96473603237093,0,19.3135579714334,125,12.5,4.5123219385873,1.12808048464683,1.12808048464683,4.5123219385873,0.00888443645109283,0.0432175129061634,0.098481719305334,0.15058366866259
2015-08-15,1.96473603237093,0,21.4011919053677,125,12.5,12.7889685417586,3.19724213543965,3.19724213543965,12.7889685417586,0.010651593050172,0.0518136814474469,0.118070200929025,0.180535475426644
2015-08-16,1.96473603237093,0,22.1464609297359,125,12.5,10.2948304428131,2.57370761070326,2.57370761070326,10.2948304428131,0.0118076577336123,0.0574372503313006,0.130884884030211,0.200129792095124
2015-08-17,1.96473603237093,0,22.6063698012496,125,12.5,13.5282465610599,3.38206164026499,3.38206164026499,13.5282465610599,0.00826792075879455,0.0402185297927803,0.0916477995974854,0.14013425014906
2015-08-18,1.96473603237093,0,23.5656767406683,125,12.5,18.1657551099271,4.54143877748177,4.54143877748177,18.1657551099271,0.0108783356620954,0.052916649746125,0.120583585135769,0.18437857054399
2015-08-19,1.96473603237093,0,23.0871683419545,125,12.5,13.6491114186035,3.41227785465087,3.41227785465087,13.6491114186035,0.0108334823092076,0.0526984647922472,0.120086397122403,0.183618344223858
2015-08-20,1.96473603237093,0,22.4248525586667,125,12.5,20.8350242333876,5.2087560583469,5.2087560583469,20.8350242333876,0.0101129536520898,0.0491935203076235,0.112099520143504,0.171405994103218
