FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
34,51,3772.000000000000000,5927.000000000000000,OTTSUND, ,OTTER POND-DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-12-01,OTTER POND,YES, , , ,Y,:CYANO-GEN:VLAP_LKTREND:LKPBS:VLAP:LKTROPH:,-72.057000000000002,43.433000000000000
35,52,3773.000000000000000,5928.000000000000000,OTTSUN-GEN, ,OTTER POND-GENERIC,SUNAPEE, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-12-01,OTTER POND,NO, , , ,N,:LFISH:VLAP:LKTROPH:,-72.058199999999999,43.433999999999997
36,53,3774.000000000000000,5929.000000000000000,OTTSUNL, ,OTTER POND-LITTLE SUNAPEE BROOK,SUNAPEE, ,SULLIVAN,NH,"LITTLE SUNAPEE BROOK
NEW LONDON",RIVER/STREAM,NHRIV801060402-07,LITTLE SUNAPEE BROOK - FROM GOOSE POND TO OTTER POND,YES, , , ,Y,:VLAP:,-72.050299999999993,43.431083000000001
37,54,3775.000000000000000,5930.000000000000000,OTTSUNO,SUNSUN505,OTTER POND-OUTLET,SUNAPEE, ,SULLIVAN,NH,OUTLET,RIVER/STREAM,NHRIV801060402-11,OTTER BROOK - FROM OTTER POND TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.066000000000003,43.432889000000003
38,55,3776.000000000000000,5931.000000000000000,OTTSUNS, ,OTTER POND-STAR LK INLET,SUNAPEE, ,SULLIVAN,NH,STAR LK INLET,RIVER/STREAM,NHLAK801060402-12-01,OTTER POND,YES, , , ,Y,:VLAP:,-72.059100000000001,43.438277999999997
39,56,4106.000000000000000,5654.000000000000000,MCASPRD, ,MCALPIN POND-DEEP SPOT,SPRINGFIELD, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-09,MCALPIN POND,YES, , , ,Y,:LKTROPH:,-72.066500000000005,43.457693999999996
40,61,4175.000000000000000,5655.000000000000000,MCASPR-GEN, ,MCALPIN POND-GENERIC,SPRINGFIELD, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-09,MCALPIN POND,NO, , , ,Y,:LKTROPH:,-72.067667000000000,43.457844000000001
41,62,4228.000000000000000,4915.000000000000000,DUTSPRD, ,DUTCHMAN POND-DEEP SPOT,SPRINGFIELD, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-06,DUTCHMAN POND,YES, , , ,Y,:CYANO-GEN:VLAP:LKTROPH:,-72.023399999999995,43.454694000000003
42,63,4229.000000000000000,4918.000000000000000,DUTSPRF, ,DUTCHMAN POND-FLECTHER,SPRINGFIELD, ,SULLIVAN,NH,"FLECTHER
COORDINATES ARE APPROXIMATE - FOUND IN GOOGLE EARTH",LAKE/POND,NHLAK801060402-06,DUTCHMAN POND,YES, , , ,Y,:VLAP:,-72.022571999999997,43.451692000000001
43,64,4230.000000000000000,4919.000000000000000,DUTSPR-GEN, ,DUTCHMAN POND-GENERIC,SPRINGFIELD, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-06,DUTCHMAN POND,NO, , , ,Y,:LKTROPH:VLAP:,-72.023200000000003,43.453888999999997
