FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
90,169,6093.000000000000000,6566.000000000000000,SUNLNWLK, ,LITTLE SUNAPEE LAKE-STATION K,NEW LONDON, ,MERRIMACK,NH,STATION K,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.031800000000004,43.433000000000000
91,170,6094.000000000000000,6567.000000000000000,SUNLNWLKPI, ,LITTLE SUNAPEE LAKE-KORON POND INLET,NEW LONDON, ,MERRIMACK,NH,KORON POND INLET,RIVER/STREAM, , ,YES, , , ,N,:VLAP:,-72.007502000000002,43.429721000000001
92,171,6095.000000000000000,6568.000000000000000,SUNLNWLL, ,LITTLE SUNAPEE LAKE-STATION L,NEW LONDON, ,MERRIMACK,NH,STATION L,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.031499999999994,43.433999999999997
93,172,6096.000000000000000,6569.000000000000000,SUNLNWLO, ,LITTLE SUNAPEE LAKE-HILLTOP POND OUTLET,NEW LONDON, ,MERRIMACK,NH,HILLTOP POND OUTLET,RIVER/STREAM, , ,YES, , , ,N,:VLAP:,-72.000832000000003,43.429442999999999
94,173,6097.000000000000000,6571.000000000000000,SUNLNWLO2, ,LITTLE SUNAPEE LAKE-STATION O-2,SPRINGFIELD, ,SULLIVAN,NH,STATION O2,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.018857999999994,43.438397000000002
95,174,6098.000000000000000,6573.000000000000000,SUNLNWLQ,SUNSUN1410,LITTLE SUNAPEE LAKE-STATION Q,NEW LONDON, ,MERRIMACK,NH,STATION Q,RIVER/STREAM,NHRIV801060402-03,KIDDER BROOK - UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.010499999999993,43.436889000000001
96,175,6099.000000000000000,6574.000000000000000,SUNLNWLS, ,LITTLE SUNAPEE LAKE-STATION S,NEW LONDON, ,MERRIMACK,NH,STATION S - FORMERLY ASSIGNED TO NHRIV801060402-03 - NEED TO FIX OLD DATA.,RIVER/STREAM,NHRIV801060402-33,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.005600000000001,43.438583000000001
97,177,6171.000000000000000,6584.000000000000000,SUNSUN010, ,SUNAPEE LAKE-010,SUNAPEE, ,SULLIVAN,NH,10,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.061925000000002,43.425530999999999
98,178,6172.000000000000000,6585.000000000000000,SUNSUN020, ,SUNAPEE LAKE-020,SUNAPEE, ,SULLIVAN,NH,20,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.062217000000004,43.409402999999998
99,179,6173.000000000000000,6586.000000000000000,SUNSUN030, ,SUNAPEE LAKE-030,SUNAPEE, ,SULLIVAN,NH,30,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.069986000000000,43.401947000000000
100,180,6174.000000000000000,6587.000000000000000,SUNSUN040, ,SUNAPEE LAKE-040,SUNAPEE, ,SULLIVAN,NH,40,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.078830999999994,43.389994000000002
101,181,6175.000000000000000,6588.000000000000000,SUNSUN050, ,SUNAPEE LAKE-050,SUNAPEE, ,SULLIVAN,NH,50,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.067350000000005,43.375675000000001
102,182,6176.000000000000000,6589.000000000000000,SUNSUN060, ,SUNAPEE LAKE-060,SUNAPEE, ,SULLIVAN,NH,60,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.071781000000001,43.366849999999999
103,183,6177.000000000000000,6590.000000000000000,SUNSUN070, ,SUNAPEE LAKE-070,SUNAPEE, ,SULLIVAN,NH,"70
NEWBURY",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.060599999999994,43.345356000000002
104,184,6178.000000000000000,6591.000000000000000,SUNSUN080, ,SUNAPEE LAKE-080,SUNAPEE, ,SULLIVAN,NH,"80
NEWBURY",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.042769000000007,43.329467000000001
105,185,6179.000000000000000,6592.000000000000000,SUNSUN090, ,SUNAPEE LAKE-090,SUNAPEE, ,SULLIVAN,NH,"90
NEWBURY",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.040756000000002,43.324691999999999
106,186,6180.000000000000000,6593.000000000000000,SUNSUN100, ,SUNAPEE LAKE-100,NEWBURY, ,MERRIMACK,NH,100,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.045147000000000,43.370469000000000
107,187,6181.000000000000000,6595.000000000000000,SUNSUN1010,MOUSUNR,SUNAPEE LAKE-1010,SUNAPEE, ,SULLIVAN,NH,1010.0,RIVER/STREAM,NHRIV801060402-58,MOUNTAINVIEW LAKE-ROUTE 103 INLET,YES, , , ,Y,:VLAP:,-72.078299999999999,43.341500000000003
108,188,6182.000000000000000,6596.000000000000000,SUNSUN110, ,SUNAPEE LAKE-110,SUNAPEE, ,SULLIVAN,NH,"110
NEW LONDON",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.035756000000006,43.410183000000004
109,189,6183.000000000000000,6598.000000000000000,SUNSUN1115,CHANBYO,SUNAPEE LAKE-1115,SUNAPEE, ,SULLIVAN,NH,"1115.0 CHALK POND OUTLET
NEWBURY
INTERPOLATION MAP COORDINATES FOUND ON 2/3/2004 -  43.351400; -72.012400",RIVER/STREAM,NHRIV801060402-24,BLODGETT BROOK,YES, , , ,Y,:VLAP:,-72.012315999999998,43.351638999999999
110,190,6184.000000000000000,6600.000000000000000,SUNSUN1410,SUNLNWLQ,SUNAPEE LAKE-1410,NEW LONDON, ,MERRIMACK,NH,1410.0,RIVER/STREAM,NHRIV801060402-03,KIDDER BROOK - UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.010499999999993,43.436889000000001
111,191,6185.000000000000000,6601.000000000000000,SUNSUN14105, ,SUNAPEE LAKE-1410.5,NEW LONDON, ,MERRIMACK,NH,"1410.5
KIDDER BROOK UPSTREAM",RIVER/STREAM,NHRIV801060402-04,BUCKLIN BROOK - TO LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.002385000000004,43.435073000000003
112,192,6186.000000000000000,6602.000000000000000,SUNSUN1415, ,SUNAPEE LAKE-1415,SUNAPEE, ,SULLIVAN,NH,"1415.0 BUCKLIN BEACH BROOK
NEW LONDON
INTERPOLATION MAP COORDINATES FOUND 4/26/2004 - 43.434931; -72.002689",RIVER/STREAM,NHRIV801060402-04,BUCKLIN BROOK - TO LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.002290000000002,43.435071000000001
113,193,6187.000000000000000,6603.000000000000000,SUNSUN1420,SUNLNWLI,SUNAPEE LAKE-1420,SUNAPEE, ,SULLIVAN,NH,"1420.0 LITTLE SUNAPEE LAKE OUTLET
NEW LONDON
INTERPOLATION MAP COORDINATES LOCATED ON 2/3/2004 - 43.428000; -72.034200",RIVER/STREAM,NHRIV801060402-06,NORTH BRANCH SUGAR RIVER,YES, , , ,Y,:VLAP:,-72.034317000000001,43.428032999999999
114,194,6188.000000000000000,6604.000000000000000,SUNSUN1605,OTTSUNBB,SUNAPEE LAKE-1605,SUNAPEE, ,SULLIVAN,NH,"1605.0
BAPTIST BROOK AT OTTER POND
INTERPOLATION MAP COORDINATES LOCATED 2/3/2004 -  43.440083; -72.064300",RIVER/STREAM,NHRIV801060402-45,BAPTIST BROOK,YES, , , ,Y,:VLAP:,-72.064352000000000,43.440300000000001
115,195,6189.000000000000000,6605.000000000000000,SUNSUN1610, ,SUNAPEE LAKE-1610 OUTLET,SUNAPEE, ,SULLIVAN,NH,"1610.0
STAR LAKE BROOK AT OTTER POND
INTERPOLATION MAP COORDINATES LOCATED 4/26/2004 - 43.440478; -72.062675",RIVER/STREAM,NHRIV801060402-09,OTTER BROOK - UNNAMED BROOKS,YES, , , ,Y,:VLAP:,-72.062538000000004,43.440570999999998
116,196,6255.000000000000000,6607.000000000000000,SUNSUN1D,SUNSUN200D,SUNAPEE LAKE-200 STN 1 DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,"200 STN 1 DEEP SPOT
NEW LONDON",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:LAKE_GEN:RMN-LAKES:CYANO-GEN:VLAP_LKTREND:VLAP:LKTROPH:,-72.042599999999993,43.406083000000002
117,197,6256.000000000000000,6612.000000000000000,SUNSUN3D,SUNSUN230D,SUNAPEE LAKE-230 STN 3 DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,"230 STN 3 DEEP SPOT
NEWBURY",LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:RMN-LAKES:VLAP_LKTREND:CYANO-GEN:VLAP:LKTROPH:,-72.049400000000006,43.342778000000003
118,198,6257.000000000000000,6613.000000000000000,SUNSUN505,OTTSUNO,SUNAPEE LAKE-505,SUNAPEE, ,SULLIVAN,NH,"505.0
OTTER POND BROOK
INTERPOLATION MAP COORDINATES LOCATED 2/3/2004 -  43.432889; -72.066000",RIVER/STREAM,NHRIV801060402-11,OTTER BROOK - FROM OTTER POND TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.066806999999997,43.430875000000000
119,199,6258.000000000000000,6614.000000000000000,SUNSUN510, ,SUNAPEE LAKE-510,SUNAPEE, ,SULLIVAN,NH,"510.0
MUZZEY BROOK
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.430078; -72.068039",RIVER/STREAM,NHRIV801060402-16,GEORGES MILL BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.069141999999999,43.430790999999999
120,200,6259.000000000000000,6615.000000000000000,SUNSUN515, ,SUNAPEE LAKE-515,SUNAPEE, ,SULLIVAN,NH,515.0,RIVER/STREAM,NHRIV801060402-46,EAGLE ROCK BROOK,YES, , , ,Y,:VLAP:,-72.068691999999999,43.428331000000000
121,201,6260.000000000000000,6616.000000000000000,SUNSUN5151, ,SUNAPEE LAKE-515.1,SUNAPEE, ,SULLIVAN,NH,"515.1
EAGLE ROCK BROOK UPSTREAM
",RIVER/STREAM,NHRIV801060402-46,EAGLE ROCK BROOK,YES, , , ,Y,:VLAP:,-72.070166999999998,43.428542999999998
122,202,6261.000000000000000,6617.000000000000000,SUNSUN540, ,SUNAPEE LAKE-540,SUNAPEE, ,SULLIVAN,NH,"540.0
JOBS CREEK
INTERPOLATION COORDINATES LOCATED 4/26/2004 - 43.414242; -72.065317",RIVER/STREAM,NHRIV801060402-20,JOBS CREEK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.065309999999997,43.414307999999998
123,203,6262.000000000000000,6622.000000000000000,SUNSUN640, ,SUNAPEE LAKE-640,SUNAPEE, ,SULLIVAN,NH,"640.0
RED WATER CREEK
INTERPOLATION COORDINATES LOCATED  4/26/2004 - 43.365628; -72.075794",RIVER/STREAM,NHRIV801060402-26,UNNAMED BROOK - FROM UNNAMED POND TO FISHERS BAY SUNAPPE LAKE,NO, , , ,Y,:VLAP:,-72.080911000000000,43.366148000000003
124,204,6263.000000000000000,6625.000000000000000,SUNSUN6705,MOUSUNO,SUNAPEE LAKE-670.5,SUNAPEE, ,SULLIVAN,NH,670.5,RIVER/STREAM,NHRIV801060402-29,JOHNSON BROOK,YES, , , ,Y,:VLAP:,-72.074500000000000,43.344889000000002
125,205,6264.000000000000000,6626.000000000000000,SUNSUN675, ,SUNAPEE LAKE-675,SUNAPEE, ,SULLIVAN,NH,"675.0 JOHNSON BROOK
NEWBURY
INTERPOLATION COORDINATES LOCATED ON 4/26/2004 - 43.342681;-72.066514",RIVER/STREAM,NHRIV801060402-29,JOHNSON BROOK,YES, , , ,Y,:VLAP:,-72.066766000000001,43.342101999999997
126,206,6265.000000000000000,6627.000000000000000,SUNSUN680, ,SUNAPEE LAKE-680,SUNAPEE, ,SULLIVAN,NH,"680.0 BECK BROOK
NEWBURY
INTERPOLATION COORDINATES FOUND ON 4/26/2004 - 43.342656; -72.069308",RIVER/STREAM,NHRIV801060402-29,JOHNSON BROOK,YES, , , ,Y,:VLAP:,-72.072954999999993,43.340766000000002
127,207,6266.000000000000000,6632.000000000000000,SUNSUN6807, ,SUNAPEE LAKE-680.7,NEWBURY, ,MERRIMACK,NH,"680.7
BECK BROOK (UPSTREAM)
",RIVER/STREAM,NHRIV801060402-28,BECK BROOK - TO FARM POND,YES, , , ,N,:VLAP:,-72.081333000000001,43.329658000000002
128,208,6267.000000000000000,6634.000000000000000,SUNSUN715, ,SUNAPEE LAKE-715,NEWBURY, ,MERRIMACK,NH,715.0,RIVER/STREAM,NHRIV801060402-52,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.041174999999996,43.323310999999997
129,209,6268.000000000000000,6635.000000000000000,SUNSUN720, ,SUNAPEE LAKE-720,NEWBURY, ,MERRIMACK,NH,720.0,RIVER/STREAM,NHRIV801060402-30,SKATING POND BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.037497000000002,43.321821999999997
130,210,6269.000000000000000,6638.000000000000000,SUNSUN730, ,SUNAPEE LAKE-730,NEWBURY, ,MERRIMACK,NH,730.0,RIVER/STREAM,NHRIV801060402-53,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.038297000000000,43.335535999999998
131,211,6310.000000000000000,7472.000000000000000,SUNSUN1417, ,SUNAPEE LAKE-1417,NEW LONDON, ,MERRIMACK,NH,"MURRAY POND INLET
",RIVER/STREAM,NHRIV801060402-38,MURRAY POND BROOK,YES, , , ,Y,:VLAP:,-72.010641000000007,43.426636000000002
132,212,6311.000000000000000,7473.000000000000000,SUNSUN1418, ,SUNAPEE LAKE-1418,SUNAPEE, ,SULLIVAN,NH,"MURRAY POND OUTLET
NEW LONDON",RIVER/STREAM,NHRIV801060402-39,MURRAY POND BROOK,YES, , , ,Y,:VLAP:,-72.013287000000005,43.428421000000000
133,213,6312.000000000000000,7474.000000000000000,SUNSUN7201, ,SUNAPEE LAKE-720.1,SUNAPEE, ,SULLIVAN,NH,"NEWBURY INLET BROOK
NEWBURY",RIVER/STREAM,NHRIV801060402-30,SKATING POND BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.037482999999995,43.321311999999999
134,214,6333.000000000000000,6640.000000000000000,SUNSUN740, ,SUNAPEE LAKE-740,NEWBURY, ,MERRIMACK,NH,740.0 WAS ORIGINALLY TAGGED TO NHRIV801060402-25 - SHOULD BE NHRIV801060402-54,RIVER/STREAM,NHRIV801060402-54,PINE CLIFF BROOK,YES, , , ,Y,:VLAP:,-72.043000000000006,43.343297000000000
135,215,6334.000000000000000,6641.000000000000000,SUNSUN760, ,SUNAPEE LAKE-760,SUNAPEE, ,SULLIVAN,NH,"760.0 BARTLETT BROOK
NEWBURY
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.347861; -72.045353",RIVER/STREAM,NHRIV801060402-25,BARTLETT BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.039630000000002,43.349924999999999
136,216,6335.000000000000000,6643.000000000000000,SUNSUN790, ,SUNAPEE LAKE-790,SUNAPEE, ,SULLIVAN,NH,"790.0 BLODGETT BROOK NORTH BRANCH
NEWBURY
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.369953; -72.039147",RIVER/STREAM,NHRIV801060402-24,BLODGETT BROOK,YES, , , ,Y,:VLAP:,-72.038600000000002,43.369655000000002
137,217,6336.000000000000000,6644.000000000000000,SUNSUN800, ,SUNAPEE LAKE-800,SUNAPEE, ,SULLIVAN,NH,"800.0 PIKE BROOK
NEW LONDON
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.385342; -72.042772",RIVER/STREAM,NHRIV801060402-23,PIKE BROOK - UNNAMED BROOKS,YES, , , ,Y,:VLAP:,-72.040287000000006,43.385160999999997
138,218,6337.000000000000000,6648.000000000000000,SUNSUN835, ,SUNAPEE LAKE-835,SUNAPEE, ,SULLIVAN,NH,"835.0 HERRICK COVE NORTH
NEW LONDON
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.412936; -72.035986",RIVER/STREAM,NHRIV801060402-17,UNNAMED BROOK - TO HERRICK COVE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.035394999999994,43.414203000000001
139,219,6338.000000000000000,6649.000000000000000,SUNSUN-GEN, ,SUNAPEE LAKE-GENERIC,SUNAPEE, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:LAKE_GEN:VLAP:LKTROPH:,-72.056700000000006,43.376083000000001
140,226,6414.000000000000000,7948.000000000000000,CHANBYMB,NORTHWEST BEACH,CHALK POND-MAIN BEACH,NEWBURY, ,MERRIMACK,NH,MAIN BEACH IN-LAKE E.COLI SAMPLE.  HAS BEEN CALLED NORTHWEST BEACH IN THE PAST,LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:LKTROPH:VLAP:,-72.012113999999997,43.349161000000002
141,227,6415.000000000000000,7949.000000000000000,SUNLNWLT, ,LITTLE SUNAPEE LAKE-STATION T,NEW LONDON, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.003632999999994,43.435861000000003
142,228,6416.000000000000000,7950.000000000000000,SUNLNWLWB, ,LITTLE SUNAPEE LAKE-WEST BASIN,NEW LONDON, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.028236000000007,43.428117000000000
143,230,6451.000000000000000,10057.000000000000000,1177-PS001, ,SUNAPEE HARBOR BOAT LAUNCH,SUNAPEE, ,SULLIVAN,NH, ,LAKE/POND,NHLAK801060402-05-01,SUNAPEE LAKE,YES, , , ,Y,:COMPLAIN:,-72.078539000000006,43.386242000000003
144,231,6580.000000000000000,8699.000000000000000,SUNSUN750, ,SUNAPEE LAKE-750,SUNAPEE, ,SULLIVAN,NH,"CUNNINGHAM BROOK
NEWBURY",RIVER/STREAM,NHRIV801060402-54,PINE CLIFF BROOK,YES, , , ,Y,:VLAP:,-72.037908000000002,43.343350999999998
145,232,6590.000000000000000,6570.000000000000000,SUNLNWLO1, ,LITTLE SUNAPEE LAKE-STATION O,NEW LONDON, ,MERRIMACK,NH,STATION O1,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.023386000000002,43.435133000000000
146,234,6749.000000000000000,3821.000000000000000,BCHSACSPRRT,7700825,SUNAPEE ARTS CAMP-RIGHT,SPRINGFIELD, ,SULLIVAN,NH, ,LAKE/POND,NHLAK801060402-02-02,BAPTIST POND - CAMP SUNAPEE,YES, , , ,Y,:NH770825:EPABEACH:,-72.082212999999996,43.453249000000000
147,235,6843.000000000000000,2012.000000000000000,BCHOTTNLNLF,8876000,OTTER POND MORGAN BEACH-LEFT,NEW LONDON, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-12-02,OTTER POND - MORGAN BEACH,YES, , , ,Y,:NH392408:EPABEACH:,-72.050832999999997,43.427805999999997
148,236,6844.000000000000000,2024.000000000000000,BCHSSPNBYLF,8844005,SUNAPEE SP-LEFT,NEWBURY, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-05-05,SUNAPEE LAKE - SUNAPEE STATE PARK BEACH,YES, , , ,Y,:NH884405:EPABEACH:,-72.061389000000005,43.343832999999997
149,238,6920.000000000000000,8705.000000000000000,CHANBYCB, ,CHALK POND-CULVERT B,NEWBURY, ,MERRIMACK,NH, ,CULVERT,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:VLAP:,-72.005942000000005,43.346530999999999
150,239,6921.000000000000000,8706.000000000000000,CHANBYWC, ,CHALK POND-WEST CULVERT,NEWBURY, ,MERRIMACK,NH, ,CULVERT,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:VLAP:,-72.012435999999994,43.350800000000000
151,240,7209.000000000000000,3750.000000000000000,BCHCOLNWDCR,7700645,COLBY LODGE-CENTER,NEW LONDON, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-04-03,LITTLE LAKE SUNAPEE - COLBY LODGE BEACH,NO, , , ,Y,:NH770645:EPABEACH:,-72.028199999999998,43.433835999999999
152,245,7643.000000000000000,2013.000000000000000,BCHOTTNLNRT,8876000,OTTER POND MORGAN BEACH-RIGHT,NEW LONDON, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-12-02,OTTER POND - MORGAN BEACH,YES, , , ,Y,:NH392408:EPABEACH:,-72.051528000000005,43.427444000000001
153,246,7644.000000000000000,2017.000000000000000,BCHDEPNBYCR,8844000,LAKE SUNAPEE DEPOT BEACH-CENTER,NEWBURY, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-05-06,SUNAPEE LAKE - DEPOT BEACH,YES, , , ,Y,:NH292388:EPABEACH:,-72.038027999999997,43.322056000000003
154,247,7645.000000000000000,2025.000000000000000,BCHSSPNBYRT,8844005,SUNAPEE SP-RIGHT,NEWBURY, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-05-05,SUNAPEE LAKE - SUNAPEE STATE PARK BEACH,YES, , , ,Y,:NH884405:EPABEACH:,-72.061194000000000,43.342444000000000
155,249,7731.000000000000000,2168.000000000000000,BCHDEWSUNRT,8861000,LAKE SUNAPEE DEWEY TB-RIGHT,SUNAPEE, ,SULLIVAN,NH, ,LAKE/POND,NHLAK801060402-05-03,SUNAPEE LAKE - DEWEY (TOWN) BEACH,YES, , , ,Y,:NH233349:EPABEACH:,-72.081333000000001,43.395111000000000
156,250,8624.000000000000000,11380.000000000000000,1308-PS002,HILLTOP RUNOFF,HILLTOP RUNOFF,NEWBURY, ,MERRIMACK,NH,"HILLTOP ROAD RUNOFF BEFORE DISHCARGING TO STREAM ON THE SOUTH SIDE OF LOT 71.
",LAND RUNOFF, , ,YES, , , ,N,:COMPLAIN:,-72.012861000000001,43.347608000000001
157,251,8625.000000000000000,11383.000000000000000,1308-PS001, ,1308-PS001 (BACKGROUND),NEWBURY, ,MERRIMACK,NH,"LOT 71 RUNOFF, UPHILL OF HILLTOP DRIVE, BACKGROUND TURBIDITY WITHOUT INFLUENCE FROM ROAD OR JOYCE PROPERTIES.
",LAND RUNOFF, , ,YES, , , ,N,:COMPLAIN:,-72.012961000000004,43.347543999999999
158,252,8627.000000000000000,11384.000000000000000,1308-PS003,HILLTOP DRIVE,HILLTOP DRIVE,NEWBURY, ,MERRIMACK,NH,"COMBINED FLOWS FROM 2004-5961 AND 5962, CULVERT ENTRANCE ON LOT 72, DISCHARGING TO SOUTH SIDE OF LOT 67.",RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012918999999997,43.347672000000003
159,253,8628.000000000000000,11386.000000000000000,1308-PS004,GERALD DRIVE S,GERALD DRIVE S,NEWBURY, ,MERRIMACK,NH,SOUTH CULVERT UNDER GERALD DRIVE.  AT PROPERTY #49.  COLLECTED AT UPSTREAM END OF CULVERT.,RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012139000000005,43.348281000000000
160,254,8629.000000000000000,11387.000000000000000,1308-PS005,GERALD DRIVE N,GERALD DRIVE N,NEWBURY, ,MERRIMACK,NH,NORTH CULVERT UNDER GERALD DRIVE.  AT PROPERTY #49.  COLLECTED AT UPSTREAM END OF CULVERT.,RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012242000000001,43.348385999999998
161,255,8630.000000000000000,11388.000000000000000,1308-PS006,NEARSHORE 1,NEARSHORE 1,NEWBURY, ,MERRIMACK,NH,"FINAL DISCHARGE OF STREAM TO CHALK POND, WITHIN TURBIDITY INFLUENCE AREA.",LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:COMPLAIN:,-72.011761000000007,43.348694000000002
162,256,8631.000000000000000,11389.000000000000000,1308-PS007,NEARSHORE 2,NEARSHORE 2,NEWBURY, ,MERRIMACK,NH,"STREAM DISCHARGE TO CHALK POND, OUTSIDE TURBIDITY INFLUENCE AREA, REPRESENTING BACKGROUND.",LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:COMPLAIN:,-72.011821999999995,43.348799999999997
163,258,9359.000000000000000,12651.000000000000000,1049-PS001, ,"UPSTREAM OF LOT 67, HILLTOP DRIVE",NEWBURY, ,MERRIMACK,NH,"SAMPLE COLLECTED UPSTREAM OF CULVERT UNDER HILLTOP DRIVE, HUST UPSTREAM OF SUBD. LOT 67 (THE SUBJECT PROPERTY FOR COMPLAINT FILE 1049).",RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012950000000004,43.347619000000002
164,259,9360.000000000000000,12652.000000000000000,1049-PS002, ,"DOWNSTREAM OF LOT 49, SOUTH CULVERT",NEWBURY, ,MERRIMACK,NH,SUBD. LOT 49 GERALD DRIVE.  SAMPLE COLLECTED UPSTREAM OF SOUTHERLY CULVERT UNDER GERALD DRIVE PRIOR TO DISCHARGING TO CHALK POND.,RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012157999999999,43.348286000000002
165,260,9361.000000000000000,12653.000000000000000,1049-PS003, ,GERALD DRIVE CULVERT BETWEEN LOTS 46 AND 52,NEWBURY, ,MERRIMACK,NH,SUBD. LOT 46 GERALD DRIVE.  SAMPLE COLLECTED DOWNSTREAM OF CULVERT UNDER GERALD DRIVE PRIOR TO DISCHARGING TO CHALK POND.,RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:COMPLAIN:,-72.012028000000001,43.348455999999999
166,261,9491.000000000000000,12707.000000000000000,1128-PS001, ,DRAINAGE AT PINE ST BLODGETTS LANDING,NEWBURY, ,MERRIMACK,NH,COORDINATES ARE APPROXIMATE - FOUND IN ARCMAP BASED ON STATION NAME.,PIPE, , ,YES, , , ,N,:COMPLAIN:,-72.038672000000005,43.371277999999997
167,262,9834.000000000000000,13281.000000000000000,OTTSUNCLVT1, ,OTTER POND-CULVERT 1,SUNAPEE, ,SULLIVAN,NH,TO THE IMMEDIATE EAST OF THE GEORGES MILLS GENERAL STORE,CULVERT, , ,YES, , , ,N,:VLAP:,-72.064147000000006,43.431838999999997
168,263,9835.000000000000000,13282.000000000000000,OTTSUNCLVT2, ,OTTER POND-CULVERT 2,SUNAPEE, ,SULLIVAN,NH,ALONG ROUTE 11.  SECOND CULVERT AFTER GEORGES MILLS GENERAL STORE GOING TOWARDS TE EAST ON ROUTE 11,CULVERT, , ,YES, , , ,N,:VLAP:,-72.062005999999997,43.431488999999999
