"DateTime","Depth","TOT_tp"
"2010-08-17",4,0.0968560525347229
"2010-08-17",20,0.193712105069446
"2010-07-12",2,0.161426754224538
"2010-07-12",20,0.161426754224538
"2010-07-12",8,0.161426754224538
"2010-06-02",18,0.161426754224538
"2010-06-02",7,0.129141403379631
"2010-06-02",2,0.129141403379631
"2009-10-05",22,0.161426754224538
"2009-10-05",13,0.161426754224538
"2009-10-05",6,0.161426754224538
"2009-09-01",11,0.258282806759261
"2009-09-01",4,0.193712105069446
"2009-09-01",21,0.129141403379631
"2009-08-12",4,0.193712105069446
"2009-08-12",10,0.161426754224538
"2009-08-12",22,0.161426754224538
"2009-07-13",9,0.161426754224538
"2009-07-13",4,0.129141403379631
"2009-07-13",19,0.0322853508449076
"2009-06-22",4,0.129141403379631
"2009-06-22",9,0.161426754224538
"2009-06-22",20,0.193712105069446
"2009-05-26",4,0.161426754224538
"2009-05-26",8,0.193712105069446
"2009-05-26",19,0.129141403379631
"2008-09-02",22,0.161426754224538
"2008-09-02",4,0.129141403379631
"2008-09-02",11,0.161426754224538
"2008-07-29",22,0.225997455914353
"2008-07-29",3,0.193712105069446
"2008-07-29",10,0.161426754224538
"2008-07-01",3,0.0968560525347229
"2008-07-01",21,0.129141403379631
"2008-07-01",9,0.0968560525347229
"2008-06-03",20,0.129141403379631
"2008-06-03",12,0.129141403379631
"2008-06-03",4,0.129141403379631
"2007-09-11",4,0.161426754224538
"2007-09-11",12,0.161426754224538
"2007-09-11",22,0.161426754224538
"2007-08-14",4,0.161426754224538
"2007-08-14",8,0.161426754224538
"2007-08-14",20,0.161426754224538
"2007-07-16",22,0.129141403379631
"2007-07-16",10,0.161426754224538
"2007-07-16",4,0.161426754224538
"2007-06-11",7,0.322853508449076
"2007-06-11",4,0.161426754224538
"2007-06-11",10,0.161426754224538
"2006-10-09",6,0.129141403379631
"2006-10-09",22,0.161426754224538
